Day,Entity,Signed_Love_Magnitude,Gamma_Self_Mag,W,Entropy
0,M1,2.2295718980851227,2.0,1.1147859490425613,1.0
7,M1,2.0268680823402794,1.95,1.1147859490425613,0.9323938199059483
14,M1,1.8413818564633462,1.9,1.1147859490425613,0.8693582353988059
21,M1,1.6717116666572243,1.85,1.1147859490425613,0.8105842459701871
28,M1,1.5165667718813858,1.8,1.1147859490425613,0.7557837414557255
35,M1,1.3747586665331148,1.75,1.1147859490425613,0.7046880897187134
42,M1,1.1129584671483286,1.7,0.9964000000000002,0.6570468198150567
0,M1,1.7675293378897554,2.0,0.8837646689448777,1.0
7,M1,1.606832595372089,1.95,0.8837646689448777,0.9323938199059483
14,M1,1.4597853768932847,1.9,0.8837646689448777,0.8693582353988059
21,M1,1.325276577914785,1.85,0.8837646689448777,0.8105842459701871
28,M1,1.2022829425107726,1.8,0.8837646689448777,0.7557837414557255
35,M1,1.2287646220425208,1.75,0.9964000000000002,0.7046880897187134
42,M1,1.1129584671483286,1.7,0.9964000000000002,0.6570468198150567
