Day,Entity,Signed_Love_Magnitude,Gamma_Self_Mag,W,Entropy
0,M1,36.55509772011464,2.0,18.27754886005732,1.0
7,M1,34.935840880300226,2.05,18.27754886005732,0.9323938199059483
14,M1,33.368449011229266,2.1,18.27754886005732,0.8693582353988059
21,M1,31.853310295962547,2.15,18.27754886005732,0.8105842459701871
28,M1,30.390523376606698,2.2,18.27754886005732,0.7557837414557255
35,M1,32.239374623362494,2.25,20.130947421497872,0.7117703227626097
42,M1,36.86935641397976,2.3,23.914181080223297,0.6703200460356393
0,M1,30.49195505295232,2.0,15.094277515431276,1.010050167084168
7,M1,34.96574341328211,2.05,17.930963616431136,0.951229424500714
14,M1,39.420714975615354,2.1,20.95451411861383,0.8958341352965282
21,M1,43.76429427145274,2.15,24.127455960262797,0.8436648165963837
28,M1,47.91298611353547,2.2,27.410583999203034,0.7945336025033339
35,M1,63.02869423522997,2.25,37.43701311569509,0.7482635675785652
42,M1,60.07351087015164,2.3,37.43701311569509,0.697676326071031
