Day,Entity,Signed_Love_Magnitude,Gamma_Self_Mag,W,Entropy
0,M1,0.14125835590091124,2.0,0.07062917795045562,1.0
7,M1,0.11195215534427189,1.7,0.07062917795045562,0.9323938199059483
14,M1,0.08596288051494687,1.4,0.07062917795045562,0.8693582353988059
21,M1,0.06297598884771066,1.1,0.07062917795045562,0.8105842459701871
28,M1,0.04270430749387007,0.8,0.07062917795045562,0.7557837414557255
35,M1,0.021556642490824576,0.5,0.061180663630711354,0.7046880897187134
42,M1,0.006032544866990013,0.2,0.04590650685051662,0.6570468198150567
0,M1,0.0663727625739295,2.0,0.03318638128696475,1.0
7,M1,0.05260272058891419,1.7,0.03318638128696475,0.9323938199059483
14,M1,0.04039119542487068,1.4,0.03318638128696475,0.8693582353988059
21,M1,0.029590393637170795,1.1,0.03318638128696475,0.8105842459701871
28,M1,0.020065381931550795,0.8,0.03318638128696475,0.7557837414557255
35,M1,0.011924314397887529,0.5,0.033842815202531074,0.7046880897187134
42,M1,0.00444726282048234,0.2,0.033842815202531074,0.6570468198150567
