Day,Entity,Signed_Love_Magnitude,Gamma_Self_Mag,W,Entropy
0,M1,44.98427009592307,2.0,22.268334564898158,1.010050167084168
7,M1,54.10068604003867,2.15,26.45325001302628,0.951229424500714
14,M1,63.69545515082474,2.3,30.913843379461838,0.8958341352965282
21,M1,73.57376167814132,2.45,35.59483128448543,0.8436648165963837
28,M1,72.79970359568298,2.6,35.59483128448543,0.7866278610665534
35,M1,90.79028576062004,2.75,44.56511522775096,0.7408182206817179
42,M1,111.32851039699165,2.9,55.02428573489476,0.697676326071031
0,M1,72.36596822403367,2.0,35.822957404651056,1.010050167084168
7,M1,87.03150053393175,2.15,42.55520976072417,0.951229424500714
14,M1,102.4665571683399,2.3,49.73094379236439,0.8958341352965282
21,M1,118.35773901343208,2.45,57.26122540568601,0.8436648165963837
28,M1,134.38568578517422,2.6,65.0530097936923,0.7945336025033339
35,M1,150.241114224648,2.75,73.01321995687067,0.7482635675785652
42,M1,165.6378736884145,2.9,81.05218323076481,0.7046880897187134
