sample_id,gamma_x,gamma_y,gamma_mag,v,r,f,a,S,b_0,beta_S,s_S,W,L_magnitude
0,-1.0,1.5,1.8027756377319946,0.7,0.9,0.5,0.9,40,0.2,0.3779972601681013,3.2904180608409974,48.91288411321955,88.17895585052051
0,-1.0,1.5,1.8027756377319946,0.7,0.9,0.5,0.9,40,0.2,0.3779972601681013,3.2904180608409974,48.91288411321955,88.17895585052051
1,-1.0,1.5,1.8027756377319946,0.9,0.7,0.5,0.9,5,0.6,3.8771054180315003,15.019469146025358,149.8871881626832,270.2129712278367
1,-1.0,1.5,1.8027756377319946,0.9,0.7,0.5,0.9,5,0.6,3.8771054180315003,15.019469146025358,149.8871881626832,270.2129712278367
2,-1.0,1.5,1.8027756377319946,0.7,0.9,0.1,0.7,5,0.8,2.8638900372842313,22.28072850495105,5.737187425471651,10.342861719742636
2,-1.0,1.5,1.8027756377319946,0.7,0.9,0.1,0.7,5,0.8,2.8638900372842313,22.28072850495105,5.737187425471651,10.342861719742636
3,-1.0,1.5,1.8027756377319946,0.5,0.3,0.7,0.7,10,0.6,3.0284688768272234,29.810364221551062,7.280441298374723,13.125002204647842
3,-1.0,1.5,1.8027756377319946,0.5,0.3,0.7,0.7,10,0.6,3.0284688768272234,29.810364221551062,7.280441298374723,13.125002204647842
4,-1.0,1.5,1.8027756377319946,0.5,0.9,0.5,0.9,0,0.2,0.7744427686266666,7.828160165372797,16.702749219640374,30.11130937631475
4,-1.0,1.5,1.8027756377319946,0.5,0.9,0.5,0.9,0,0.2,0.7744427686266666,7.828160165372797,16.702749219640374,30.11130937631475
5,-1.0,1.5,1.8027756377319946,0.3,0.3,0.1,0.3,40,0.2,0.6421165132560784,5.200762468698007,0.016571157178594337,0.029874078450597526
5,-1.0,1.5,1.8027756377319946,0.3,0.3,0.1,0.3,40,0.2,0.6421165132560784,5.200762468698007,0.016571157178594337,0.029874078450597526
6,-1.0,1.5,1.8027756377319946,0.7,0.9,0.5,0.1,20,0.2,0.6312611421769909,4.558555380447055,1.64581104431228,2.9670280549964305
6,-1.0,1.5,1.8027756377319946,0.7,0.9,0.5,0.1,20,0.2,0.6312611421769909,4.558555380447055,1.64581104431228,2.9670280549964305
7,-1.0,1.5,1.8027756377319946,0.3,0.7,0.9,0.3,5,0.6,3.8789978831283785,37.37068376069122,3.8511662396698148,6.942788673732678
7,-1.0,1.5,1.8027756377319946,0.3,0.7,0.9,0.3,5,0.6,3.8789978831283785,37.37068376069122,3.8511662396698148,6.942788673732678
8,-1.0,1.5,1.8027756377319946,0.7,0.1,0.9,0.9,5,0.8,3.1735023313276964,39.131382681603455,8.699486747189614,15.683222768605791
8,-1.0,1.5,1.8027756377319946,0.7,0.1,0.9,0.9,5,0.8,3.1735023313276964,39.131382681603455,8.699486747189614,15.683222768605791
9,-1.0,1.5,1.8027756377319946,0.7,0.7,0.9,0.1,40,0.8,2.1491012873595414,39.672173415012935,12.632723278384029,22.773965764480582
9,-1.0,1.5,1.8027756377319946,0.7,0.7,0.9,0.1,40,0.8,2.1491012873595414,39.672173415012935,12.632723278384029,22.773965764480582
10,-1.0,1.5,1.8027756377319946,0.1,0.7,0.5,0.5,0,0.4,2.1852633107968087,16.059599747810115,0.2914270167738687,0.5253775260168437
