sample_id,gamma_x,gamma_y,gamma_mag,v,r,f,a,S,b_0,beta_S,s_S,W,L_magnitude
0,-0.5,0.5,0.7071067811865476,0.7,0.9,0.5,0.9,40,0.2,0.3779972601681013,3.2904180608409974,48.91288411321955,34.58663204384929
0,-1.2,2.0,2.33238075793812,0.7,0.9,0.5,0.9,40,0.2,0.3779972601681013,3.2904180608409974,48.91288411321955,114.08346972093044
1,-0.5,0.5,0.7071067811865476,0.9,0.7,0.5,0.9,5,0.6,3.8771054180315003,15.019469146025358,149.8871881626832,105.98624716281732
1,-1.2,2.0,2.33238075793812,0.9,0.7,0.5,0.9,5,0.6,3.8771054180315003,15.019469146025358,149.8871881626832,349.59399353209267
2,-0.5,0.5,0.7071067811865476,0.7,0.9,0.1,0.7,5,0.8,2.8638900372842313,22.28072850495105,5.737187425471651,4.056804133489195
2,-1.2,2.0,2.33238075793812,0.7,0.9,0.1,0.7,5,0.8,2.8638900372842313,22.28072850495105,5.737187425471651,13.38130555585462
3,-0.5,0.5,0.7071067811865476,0.5,0.3,0.7,0.7,10,0.6,3.0284688768272234,29.810364221551062,7.280441298374723,5.14804941211136
3,-1.2,2.0,2.33238075793812,0.5,0.3,0.7,0.7,10,0.6,3.0284688768272234,29.810364221551062,7.280441298374723,16.980761193627227
4,-0.5,0.5,0.7071067811865476,0.5,0.9,0.5,0.9,0,0.2,0.7744427686266666,7.828160165372797,16.702749219640374,11.810627237666024
4,-1.2,2.0,2.33238075793812,0.5,0.9,0.5,0.9,0,0.2,0.7744427686266666,7.828160165372797,16.702749219640374,38.957170884555154
5,-0.5,0.5,0.7071067811865476,0.3,0.3,0.1,0.3,40,0.2,0.6421165132560784,5.200762468698007,0.016571157178594337,0.011717577613092193
5,-1.2,2.0,2.33238075793812,0.3,0.3,0.1,0.3,40,0.2,0.6421165132560784,5.200762468698007,0.016571157178594337,0.03865024814012158
6,-0.5,0.5,0.7071067811865476,0.7,0.9,0.5,0.1,20,0.2,0.6312611421769909,4.558555380447055,1.64581104431228,1.1637641499849267
6,-1.2,2.0,2.33238075793812,0.7,0.9,0.5,0.1,20,0.2,0.6312611421769909,4.558555380447055,1.64581104431228,3.8386580109560042
7,-0.5,0.5,0.7071067811865476,0.3,0.7,0.9,0.3,5,0.6,3.8789978831283785,37.37068376069122,3.8511662396698148,2.7231857635472227
7,-1.2,2.0,2.33238075793812,0.3,0.7,0.9,0.3,5,0.6,3.8789978831283785,37.37068376069122,3.8511662396698148,8.982386033026781
8,-0.5,0.5,0.7071067811865476,0.7,0.1,0.9,0.9,5,0.8,3.1735023313276964,39.131382681603455,8.699486747189614,6.151466071780277
8,-1.2,2.0,2.33238075793812,0.7,0.1,0.9,0.9,5,0.8,3.1735023313276964,39.131382681603455,8.699486747189614,20.29051549308274
9,-0.5,0.5,0.7071067811865476,0.7,0.7,0.9,0.1,40,0.8,2.1491012873595414,39.672173415012935,12.632723278384029,8.932684294998502
9,-1.2,2.0,2.33238075793812,0.7,0.7,0.9,0.1,40,0.8,2.1491012873595414,39.672173415012935,12.632723278384029,29.46432069485987
10,-0.5,0.5,0.7071067811865476,0.1,0.7,0.5,0.5,0,0.4,2.1852633107968087,16.059599747810115,0.2914270167738687,0.20607001978176828
10,-1.2,2.0,2.33238075793812,0.1,0.7,0.5,0.5,0,0.4,2.1852633107968087,16.059599747810115,0.2914270167738687,0.679718766266681
11,-0.5,0.5,0.7071067811865476,0.3,0.3,0.1,0.7,0,0.6,2.6617960497052984,16.588958757150593,0.06237336589405897,0.04410462998911883
11,-1.2,2.0,2.33238075793812,0.3,0.3,0.1,0.7,0,0.6,2.6617960497052984,16.588958757150593,0.06237336589405897,0.14547843841913694
12,-0.5,0.5,0.7071067811865476,0.9,0.5,0.7,0.5,10,0.0,0.4914634373768949,7.858560476945518,10.57029978134178,7.474330654561453
12,-1.2,2.0,2.33238075793812,0.9,0.5,0.7,0.5,10,0.0,0.4914634373768949,7.858560476945518,10.57029978134178,24.65396381563908
13,-0.5,0.5,0.7071067811865476,0.5,0.1,0.9,0.3,10,0.0,0.6553314448428937,3.5544541040591566,0.2790213843212603,0.19729791294962098
13,-1.2,2.0,2.33238075793812,0.5,0.1,0.9,0.3,10,0.0,0.6553314448428937,3.5544541040591566,0.2790213843212603,0.6507841078441645
14,-0.5,0.5,0.7071067811865476,0.7,0.9,0.5,0.1,20,0.8,3.0171413823294055,37.689161848152324,5.569044630828374,3.9379092231892767
14,-1.2,2.0,2.33238075793812,0.7,0.9,0.5,0.1,20,0.8,3.0171413823294055,37.689161848152324,5.569044630828374,12.989132537042702
15,-0.5,0.5,0.7071067811865476,0.9,0.5,0.9,0.7,40,0.4,2.0421773995595567,18.804678390152578,247.35849379468118,174.90886834630962
15,-1.2,2.0,2.33238075793812,0.9,0.5,0.9,0.7,40,0.4,2.0421773995595567,18.804678390152578,247.35849379468118,576.9341912392703
16,-0.5,0.5,0.7071067811865476,0.3,0.9,0.1,0.9,20,0.6,2.436880874433667,25.412748696759156,3.8301706847187718,2.708339664266566
16,-1.2,2.0,2.33238075793812,0.3,0.9,0.1,0.9,20,0.6,2.436880874433667,25.412748696759156,3.8301706847187718,8.933416404656736
17,-0.5,0.5,0.7071067811865476,0.5,0.3,0.7,0.1,0,0.0,0.41396758127097083,5.135538943131282,0.08177437900127522,0.05782321791912053
17,-1.2,2.0,2.33238075793812,0.5,0.3,0.7,0.1,0,0.0,0.41396758127097083,5.135538943131282,0.08177437900127522,0.1907289880749134
18,-0.5,0.5,0.7071067811865476,0.7,0.9,0.1,0.5,10,0.0,0.5424149856794915,6.462180164451352,1.107181192936914,0.7828953295279031
18,-1.2,2.0,2.33238075793812,0.7,0.9,0.1,0.5,10,0.0,0.5424149856794915,6.462180164451352,1.107181192936914,2.5823681099570313
19,-0.5,0.5,0.7071067811865476,0.3,0.7,0.5,0.1,20,0.0,0.33244612355449077,4.2695770696717235,0.11367444089945834,0.08037996800759642
19,-1.2,2.0,2.33238075793812,0.3,0.7,0.5,0.1,20,0.0,0.33244612355449077,4.2695770696717235,0.11367444089945834,0.26513207862327065
20,-0.5,0.5,0.7071067811865476,0.7,0.3,0.5,0.1,40,0.0,0.7988702425244709,4.3339050713764244,0.18177249087490055,0.12853256093081203
20,-1.2,2.0,2.33238075793812,0.7,0.3,0.5,0.1,40,0.0,0.7988702425244709,4.3339050713764244,0.18177249087490055,0.42396266003910055
21,-0.5,0.5,0.7071067811865476,0.3,0.3,0.7,0.9,0,0.0,0.4197809453334862,3.7244743604561155,1.3003164448891407,0.919462575869495
21,-1.2,2.0,2.33238075793812,0.3,0.3,0.7,0.9,0,0.0,0.4197809453334862,3.7244743604561155,1.3003164448891407,3.0328330552899354
22,-0.5,0.5,0.7071067811865476,0.7,0.3,0.7,0.5,10,0.0,0.6641081743059298,4.838915663596266,3.0105982541406378,2.128814440931226
22,-1.2,2.0,2.33238075793812,0.7,0.3,0.7,0.5,10,0.0,0.6641081743059298,4.838915663596266,3.0105982541406378,7.021861437839721
23,-0.5,0.5,0.7071067811865476,0.7,0.3,0.5,0.1,0,0.6,3.016397553481437,32.39532016977205,0.14900263336848243,0.10536077246950688
