0	0	0	External Weight (Assume Normal Distribution)	0	0	0	0	0
Day	M2_x	M2_y	Visibility v(t)	Resonance r(t)	Fidelity f(t)	Alturism a(t)	Shared Breth S(t)	Notes
0	-3	1	0	0	0	0	0	Initial condition: cautious, more we, higher love
7	-2.5	0.9	1	-2	-2	-2	-2	First date: feels pressure, pulls back, love dips
14	-1.4	1.25	0	0	1	1	0	Early wobble: guarded, tests boundaries, still cautious
21	-1.25	1.75	5	5	3	3	3	Repair begins: warms as M1 slows pace, trust builds
28	-1.1	2.5	5	6	5	5	5	Shared rhythm: enjoys honesty, casual comfort, love rises
35	-1	2.6	6	7	6	6	6	Repair complete: feels safe, more engaged
42	-0.9	2.7	7	8	7	7	7	Stable Q2 band: agency rises, still we-oriented
49	-0.8	2.75	8	9	8	8	8	Steady connection: participates actively, playful tone
56	-0.6	2.8	9	9	9	9	9	Higher plateau: feels secure, love continues upward
60	-0.5	2.85	10	10	10	9	10	Outcome: stable Q2 relationship, stronger love
